timestamp,model,perspective,test_type,gt_name,size_mb,fps,ram_max_gb,vram_used_mib,vram_free_mib,gpu_util_pct
2026-05-20T13:22:41,dreamx-world_small,1st_data,mirror_test,data-32,0.93,24.00,0.03,1117,31071,0
2026-05-20T13:22:41,dreamx-world_small,1st_data,mirror_test,data-33,0.68,24.00,0.03,1117,31071,0
2026-05-20T13:22:41,dreamx-world_small,1st_data,mirror_test,data-34,1.08,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-35,0.51,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-36,0.77,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-37,0.34,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-38,1.59,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-39,1.04,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-40,0.81,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-41,1.22,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-42,0.48,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-43,0.82,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-44,0.77,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-45,0.81,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-46,0.64,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-47,1.14,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-48,0.81,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-49,0.64,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-50,0.75,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-51,0.89,24.00,0.03,1117,31071,0
2026-05-20T13:22:42,dreamx-world_small,1st_data,mirror_test,data-52,1.21,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-53,1.01,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-54,0.72,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-55,0.65,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-56,0.58,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-57,0.86,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-58,0.64,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-59,1.27,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-60,0.62,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-61,0.86,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-62,1.03,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-63,0.90,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-64,0.70,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-65,0.93,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-66,0.51,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-67,0.80,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-68,1.03,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-69,0.58,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-70,0.57,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-71,0.95,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-72,0.94,24.00,0.03,1117,31071,0
2026-05-20T13:22:43,dreamx-world_small,1st_data,mirror_test,data-73,0.52,24.00,0.03,1117,31071,0
